yr,sub,cst_n,cst,mag,pev1
1949,Maori,eastern maori,77,1,12781
1949,Maori,northern maori,78,1,8697
1949,Maori,southern maori,79,1,1355
1949,Maori,western maori,80,1,12063
1949,North,arch hill,1,1,12754
1949,North,auckland central,3,1,9888
1949,North,bay of plenty,6,1,15419
1949,North,brooklyn,7,1,13096
1949,North,eden,13,1,12831
1949,North,egmont,14,1,13698
1949,North,franklin,16,1,14915
1949,North,gisborne,17,1,15419
1949,North,grey lynn,18,1,14002
1949,North,hamilton,19,1,14515
1949,North,hastings,20,1,16097
1949,North,hauraki,21,1,14117
1949,North,hawkes bay,22,1,14518
1949,North,hobson,23,1,15049
1949,North,hutt,25,1,15480
1949,North,island bay,27,1,13714
1949,North,karori,28,1,14495
1949,North,manawatu,30,1,14000
1949,North,marsden,32,1,15268
1949,North,miramar,33,1,14570
1949,North,mount albert,35,1,14589
1949,North,mount victoria,36,1,12839
1949,North,napier,37,1,15039
1949,North,new plymouth,39,1,15589
1949,North,north shore,40,1,15068
1949,North,onehunga,42,1,15658
1949,North,onslow,43,1,18209
1949,North,otahuhu,45,1,16445
1949,North,otaki,46,1,17794
1949,North,pahiatua,47,1,13894
1949,North,palmerston north,48,1,15260
1949,North,parnell,49,1,12497
1949,North,patea,50,1,14784
1949,North,petone,51,1,14196
1949,North,piako,52,1,14131
1949,North,ponsonby,53,1,13774
1949,North,raglan,54,1,15325
1949,North,rangitikei,55,1,13925
1949,North,remuera,56,1,13655
1949,North,rodney,58,1,15655
1949,North,roskill,59,1,15324
1949,North,tamaki,64,1,16460
1949,North,tauranga,65,1,15515
1949,North,waikato,67,1,14286
1949,North,waimarino,68,1,15683
1949,North,wairarapa,70,1,14872
1949,North,waitakere,71,1,17131
1949,North,waitomo,72,1,14076
1949,North,wanganui,74,1,14863
1949,North,wellington central,75,1,10944
1949,South,ashburton,2,1,13690
1949,South,avon,4,1,16547
1949,South,awarua,5,1,13811
1949,South,buller,8,1,14841
1949,South,Central Otago,44,1,14297
1949,South,christchurch central,9,1,13157
1949,South,clutha,10,1,14120
1949,South,dunedin central,11,1,13527
1949,South,fendalton,15,1,14419
1949,South,hurunui,24,1,14397
